id; geom; area; title; pubdate; updatedate; closedate; linqmap_uuid; linqmap_type; linqmap_speed; linqmap_length; linqmap_delay; linqmap_street; linqmap_city; linqmap_country; linqmap_roadtype; linqmap_level; linqmap_turntype; linqmap_blockingalertuuid; linqmap_endnode; linqmap_startnode
1632204; LINESTRING(5.387031 52.149898,5.38926 52.150484,5.390161 52.150722,5.390556 52.150825,5.391078 52.150945,5.391836 52.15107); 53; jam; 20170615072824; NULL; 20170615093924; 1111953668; NONE; 2.85; 354; 71; Bisschopsweg; Amersfoort; NL; 2; 2; NONE; ; Hendrik van Viandenstraat;
1632971; LINESTRING(5.387031 52.149898,5.38926 52.150484,5.390161 52.150722,5.390556 52.150825,5.391078 52.150945,5.391836 52.15107); 53; jam; 20170615074345; NULL; 20170615095924; 1111545090; NONE; 2.8472222222222223; 354; 71; Bisschopsweg; Amersfoort; NL; 2; 2; NONE; ; Hendrik van Viandenstraat;
1632972; LINESTRING(5.391836 52.15107,5.391078 52.150945,5.390556 52.150825,5.390161 52.150722,5.38926 52.150484,5.387031 52.149898,5.385688 52.149508); 53; jam; 20170615074345; NULL; 20170615095423; 1113165076; NONE; 3.7888888888888888; 456; 60; Bisschopsweg; Amersfoort; NL; 2; 2; NONE; ; Arnhemseweg;
1633758; LINESTRING(5.391836 52.15107,5.391078 52.150945,5.390556 52.150825,5.390161 52.150722,5.38926 52.150484,5.387031 52.149898,5.385688 52.149508); 53; jam; 20170615080104; NULL; 20170615100923; 1114947662; NONE; 3.7888888888888888; 456; 60; Bisschopsweg; Amersfoort; NL; 2; 2; NONE; ; Arnhemseweg;
1634503; LINESTRING(5.391836 52.15107,5.391078 52.150945,5.390556 52.150825,5.390161 52.150722,5.38926 52.150484,5.387031 52.149898,5.385688 52.149508); 53; jam; 20170615081827; NULL; 20170615102923; 1115552576; NONE; 3.7888888888888888; 456; 60; Bisschopsweg; Amersfoort; NL; 2; 2; NONE; ; Arnhemseweg;
1564533; LINESTRING(5.385688 52.149508,5.387031 52.149898,5.38926 52.150484,5.390161 52.150722,5.390556 52.150825,5.391078 52.150945,5.391836 52.15107); 53; jam; 20170613135941; NULL; 20170613161424; 930855617; NONE; 3.4472222222222224; 456; 65; Bisschopsweg; Amersfoort; NL; 2; 2; NONE; ; Hendrik van Viandenstraat;
1657538; LINESTRING(5.385 52.150668,5.385445 52.151297,5.385672 52.151617,5.38623 52.152457,5.386318 52.152588); 53; jam; 20170615152845; NULL; 20170615173427; 1151416263; NONE; 1.9055555555555554; 232; 93; Arnhemseweg; Amersfoort; NL; 2; 4; NONE; ; Stadsring;
1659189; LINESTRING(5.385 52.150668,5.385445 52.151297,5.385672 52.151617,5.38623 52.152457,5.386318 52.152588); 53; jam; 20170615154316; NULL; 20170615174928; 1149263137; NONE; 1.8083333333333333; 232; 99; Arnhemseweg; Amersfoort; NL; 2; 4; NONE; ; Stadsring;
1676189; LINESTRING(5.387031 52.149898,5.38926 52.150484,5.390161 52.150722,5.390556 52.150825,5.391078 52.150945,5.391836 52.15107); 53; jam; 20170616080725; NULL; 20170616102425; 1209115811; NONE; 2.425; 354; 93; Bisschopsweg; Amersfoort; NL; 2; 3; NONE; ; Hendrik van Viandenstraat;
1695061; LINESTRING(5.387031 52.149898,5.38926 52.150484,5.390161 52.150722,5.390556 52.150825,5.391078 52.150945,5.391836 52.15107); 53; jam; 20170616135329; NULL; 20170616160927; 1243192173; NONE; 2.4916666666666667; 354; 89; Bisschopsweg; Amersfoort; NL; 2; 3; NONE; ; Hendrik van Viandenstraat;
1564535; LINESTRING(5.385 52.150668,5.385445 52.151297,5.385672 52.151617,5.38623 52.152457,5.386318 52.152588); 53; jam; 20170613135951; NULL; 20170613161926; 933014924; NONE; 1.7583333333333333; 232; 102; Arnhemseweg; Amersfoort; NL; 2; 3; NONE; ; Stadsring;
1629361; LINESTRING(5.385 52.150668,5.385445 52.151297,5.385672 52.151617,5.38623 52.152457); 53; jam; 20170615064841; NULL; 20170615085424; 1106434150; NONE; 1.5583333333333333; 216; 113; Arnhemseweg; Amersfoort; NL; 2; 4; NONE; ; Stadsring;
1750879; LINESTRING(5.385688 52.149508,5.385906 52.149294,5.386062 52.149176); 53; jam; 20170614055612; NULL; NULL; 996381356; NONE; 0; 45; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 82b0dc79-b7f5-32da-b56b-120d2997a8e4; ;
1750880; LINESTRING(5.386062 52.149176,5.385906 52.149294,5.385688 52.149508); 53; jam; 20170614055612; NULL; NULL; 997521575; NONE; 0; 45; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 27a274db-e86b-38cf-881a-6ff7f588c037; ;
1585281; LINESTRING(5.385688 52.149508,5.385906 52.149294,5.386062 52.149176); 53; jam; 20170614055612; NULL; 20170618101427; 996381356; NONE; 0; 45; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 82b0dc79-b7f5-32da-b56b-120d2997a8e4; ;
1585282; LINESTRING(5.386062 52.149176,5.385906 52.149294,5.385688 52.149508); 53; jam; 20170614055612; NULL; 20170618101427; 997521575; NONE; 0; 45; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 27a274db-e86b-38cf-881a-6ff7f588c037; Bisschopsweg;
1585283; LINESTRING(5.387884 52.148195,5.38698 52.148641); 53; jam; 20170614055612; NULL; 20170618101427; 993561761; NONE; 0; 79; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 5a54f51f-0bbd-3275-ab22-635484debd31; ;
1585285; LINESTRING(5.38698 52.148641,5.386517 52.148904,5.386062 52.149176); 53; jam; 20170614055612; NULL; 20170618101427; 994762230; NONE; 0; 87; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; f1180e63-ed19-3352-8f83-b14ae1512d1a; ;
1585286; LINESTRING(5.38698 52.148641,5.387884 52.148195); 53; jam; 20170614055612; NULL; 20170618101427; 993562181; NONE; 0; 79; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 6ad36797-edbd-314b-8ff0-fc62505b1e1b; ;
1586379; LINESTRING(5.386062 52.149176,5.386517 52.148904,5.38698 52.148641); 53; jam; 20170614060712; NULL; 20170618101427; 994425571; NONE; 0; 87; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; ecad34cb-b8bb-3988-81f9-904124a1c789; ;
1477470; LINESTRING(5.386062 52.149176,5.386517 52.148904,5.38698 52.148641); 53; jam; 20170611075313; NULL; 20170614074924; 738761280; NONE; 0; 87; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 79ee83e0-0424-3a05-ad2b-933eb955c390; ;
1477471; LINESTRING(5.38698 52.148641,5.386517 52.148904,5.386062 52.149176); 53; jam; 20170611075313; NULL; 20170611105421; 739181279; NONE; 0; 87; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; b68774c3-b6c8-3b4a-9399-6f992411bf35; ;
1483746; LINESTRING(5.38698 52.148641,5.386517 52.148904,5.386062 52.149176); 53; jam; 20170611095019; NULL; 20170614074924; 745425822; NONE; 0; 87; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; f1180e63-ed19-3352-8f83-b14ae1512d1a; Veldstraat;
1681456; LINESTRING(5.392754 52.143772,5.392308 52.144126,5.391418 52.144738,5.390454 52.145223,5.389459 52.145821,5.384271 52.148939,5.384057 52.149056); 53; jam; 20170616100352; NULL; 20170616121925; 1220916354; NONE; 6.441666666666666; 838; 78; Kersenbaan; Amersfoort; NL; 2; 2; NONE; ; Leusderweg;
1750868; LINESTRING(5.38698 52.148641,5.387884 52.148195); 53; jam; 20170614055612; NULL; NULL; 993562181; NONE; 0; 79; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 6ad36797-edbd-314b-8ff0-fc62505b1e1b; ;
1750869; LINESTRING(5.386062 52.149176,5.386517 52.148904,5.38698 52.148641); 53; jam; 20170614060712; NULL; NULL; 994425571; NONE; 0; 87; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; ecad34cb-b8bb-3988-81f9-904124a1c789; ;
1750870; LINESTRING(5.38698 52.148641,5.386517 52.148904,5.386062 52.149176); 53; jam; 20170614055612; NULL; NULL; 994762230; NONE; 0; 87; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; f1180e63-ed19-3352-8f83-b14ae1512d1a; ;
1750875; LINESTRING(5.38844 52.147545,5.388666 52.147105); 53; jam; 20170614055601; NULL; NULL; 996338046; NONE; 0; 51; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 944577ed-7179-3795-8d4b-3bc24bb6de0a; ;
1750876; LINESTRING(5.38844 52.147545,5.388262 52.147792,5.388061 52.148037,5.387884 52.148195); 53; jam; 20170614055601; NULL; NULL; 993518161; NONE; 0; 82; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; c72cafff-d894-3c68-b0a2-1203c7c4754c; ;
1750877; LINESTRING(5.388666 52.147105,5.38844 52.147545); 53; jam; 20170614055603; NULL; NULL; 997501425; NONE; 0; 51; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 39c53ea6-6ffa-3fdf-a27a-0b03f3a1eb7f; ;
1750878; LINESTRING(5.387884 52.148195,5.388061 52.148037,5.388262 52.147792,5.38844 52.147545); 53; jam; 20170614055604; NULL; NULL; 996362916; NONE; 0; 82; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; e5ad9f93-716d-3a1f-8456-a71679b13686; ;
1750881; LINESTRING(5.387884 52.148195,5.38698 52.148641); 53; jam; 20170614055612; NULL; NULL; 993561761; NONE; 0; 79; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 5a54f51f-0bbd-3275-ab22-635484debd31; ;
1691085; LINESTRING(5.392183 52.147367,5.392159 52.147874,5.392073 52.148477,5.392054 52.148572,5.391892 52.149359,5.391719 52.150192,5.391702 52.150322,5.391715 52.150532,5.391836 52.15107); 53; jam; 20170616130339; NULL; 20170616151927; 1236970645; NONE; 3.202777777777778; 413; 89; Vermeerstraat; Amersfoort; NL; 2; 3; NONE; ; Bisschopsweg;
1716787; LINESTRING(5.391836 52.15107,5.391715 52.150532,5.391702 52.150322,5.391719 52.150192,5.391892 52.149359,5.392054 52.148572,5.392073 52.148477,5.392159 52.147874,5.392183 52.147367,5.392158 52.14694,5.392105 52.14668,5.392058 52.146545); 53; jam; 20170617083052; NULL; 20170617103925; 1321465924; NONE; 2.2694444444444444; 505; 173; Vermeerstraat; Amersfoort; NL; 2; 4; NONE; ; Hobbemastraat;
1717406; LINESTRING(5.391836 52.15107,5.391715 52.150532,5.391702 52.150322,5.391719 52.150192,5.391892 52.149359,5.392054 52.148572,5.392073 52.148477,5.392159 52.147874,5.392183 52.147367,5.392158 52.14694,5.392105 52.14668,5.392058 52.146545); 53; jam; 20170617084635; NULL; 20170617110426; 1324008323; NONE; 2.5194444444444444; 505; 151; Vermeerstraat; Amersfoort; NL; 2; 4; NONE; ; Hobbemastraat;
1724531; LINESTRING(5.391836 52.15107,5.391715 52.150532,5.391702 52.150322,5.391719 52.150192,5.391892 52.149359,5.392054 52.148572,5.392073 52.148477,5.392159 52.147874,5.392183 52.147367); 53; jam; 20170617110040; NULL; 20170617133425; 1328358850; NONE; 2.3361111111111112; 413; 136; Vermeerstraat; Amersfoort; NL; 2; 3; NONE; ; Breitnerstraat;
1726422; LINESTRING(5.391836 52.15107,5.391715 52.150532,5.391702 52.150322,5.391719 52.150192,5.391892 52.149359,5.392054 52.148572,5.392073 52.148477,5.392159 52.147874); 53; jam; 20170617113509; NULL; 20170617134926; 1332567162; NONE; 2.1166666666666667; 357; 133; Vermeerstraat; Amersfoort; NL; 2; 3; NONE; ; Breitnerstraat;
1736188; LINESTRING(5.391344 52.14544,5.391384 52.14547,5.391448 52.145518,5.39163 52.145749,5.391849 52.146067,5.391967 52.146298,5.392058 52.146545,5.392105 52.14668,5.392158 52.14694,5.392183 52.147367,5.392159 52.147874,5.392073 52.148477,5.392054 52.148572,5.391892 52.149359,5.391719 52.150192,5.391702 52.150322,5.391715 52.150532,5.391836 52.15107); 53; jam; 20170617140350; NULL; 20170617160926; 1338499080; NONE; 5.236111111111111; 638; 60; Vermeerstraat; Amersfoort; NL; 2; 2; NONE; ; Bisschopsweg;
1742871; LINESTRING(5.391849 52.146067,5.391967 52.146298,5.392058 52.146545,5.392105 52.14668,5.392158 52.14694,5.392183 52.147367,5.392159 52.147874,5.392073 52.148477,5.392054 52.148572,5.391892 52.149359,5.391719 52.150192,5.391702 52.150322,5.391715 52.150532,5.391836 52.15107); 53; jam; 20170617163237; NULL; 20170617183927; 1351106163; NONE; 3.825; 560; 91; Vermeerstraat; Amersfoort; NL; 2; 3; NONE; ; Bisschopsweg;
1743339; LINESTRING(5.391849 52.146067,5.391967 52.146298,5.392058 52.146545,5.392105 52.14668,5.392158 52.14694,5.392183 52.147367,5.392159 52.147874,5.392073 52.148477,5.392054 52.148572,5.391892 52.149359,5.391719 52.150192,5.391702 52.150322,5.391715 52.150532,5.391836 52.15107); 53; jam; 20170617164821; NULL; 20170617185426; 1348278107; NONE; 3.683333333333333; 560; 97; Vermeerstraat; Amersfoort; NL; 2; 3; NONE; ; Bisschopsweg;
1718440; LINESTRING(5.391344 52.14544,5.391384 52.14547,5.391448 52.145518,5.39163 52.145749,5.391849 52.146067,5.391967 52.146298,5.392058 52.146545,5.392105 52.14668,5.392158 52.14694,5.392183 52.147367,5.392159 52.147874,5.392073 52.148477,5.392054 52.148572,5.391892 52.149359,5.391719 52.150192,5.391702 52.150322,5.391715 52.150532,5.391836 52.15107); 53; jam; 20170617090432; NULL; 20170617111927; 1320900560; NONE; 5.052777777777778; 638; 64; Vermeerstraat; Amersfoort; NL; 2; 3; NONE; ; Bisschopsweg;
1750872; LINESTRING(5.388666 52.147105,5.389022 52.146332,5.389068 52.14625,5.389136 52.146179,5.389465 52.145953,5.390684 52.14524,5.39075 52.145164); 53; jam; 20170614055612; NULL; NULL; 995301617; NONE; 0; 267; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; 40eaaadc-a08a-3ddf-8859-ee9487035463; ;
1763943; LINESTRING(5.392073 52.148477,5.392054 52.148572,5.391892 52.149359,5.391719 52.150192); 53; jam; 20170618125135; NULL; 20170618150426; 1409495068; NONE; 1.4722222222222223; 192; 111; Vermeerstraat; Amersfoort; NL; 2; 4; NONE; ; ;
1476084; LINESTRING(5.39075 52.145164,5.390684 52.14524,5.389465 52.145953,5.389136 52.146179,5.389068 52.14625,5.389022 52.146332,5.388666 52.147105); 53; jam; 20170611074720; NULL; 20170611095425; 740744445; NONE; 0; 267; -1; Arnhemseweg; Amersfoort; NL; 1; 5; NONE; ca7adb3a-67c8-319c-a559-13f192ebda33; ;
